,gender,agecat,area,traffic_index,veh_value00,veh_ageIndex,credit_score,age,claim_ind,veh_body2,num_claims,claim_amount
82,F,1,C,171,3.38,2,47,16,0,HBACK,0,0.0
83,M,5,A,84,7.79,2,82,59,0,STNWG,0,0.0
84,M,4,C,103,3.01,2,87,53,0,HBACK,0,0.0
85,M,2,C,100,2.52,2,99,26,0,HBACK,0,0.0
86,F,2,C,100,0.87,4,78,31,0,HBACK,0,0.0
87,M,6,A,100,3.19,3,87,92,0,UTE,0,0.0
88,M,2,C,107,1.71,4,96,29,0,SEDAN,0,0.0
89,F,1,C,135,3.33,4,72,22,0,COUPE,0,0.0
90,M,1,A,100,2.22,3,70,16,0,HBACK,0,0.0
91,M,1,F,69,3.38,2,85,25,0,TRUCK,0,0.0
92,M,3,F,100,3.42,4,91,43,0,STNWG,0,0.0
93,F,3,D,164,3.48,1,55,41,0,HBACK,0,0.0
94,M,3,E,59,4.96,3,72,42,0,TRUCK,0,0.0
95,M,4,D,106,1.53,3,84,51,0,HBACK,0,0.0
96,F,3,A,70,4.35,1,38,39,0,HBACK,0,0.0
97,F,5,C,69,1.47,4,95,59,0,STNWG,0,0.0
98,M,3,B,103,3.65,2,49,43,0,HBACK,0,0.0
99,F,3,D,60,3.96,2,81,37,0,SEDAN,0,0.0
100,M,5,D,156,0.76,4,76,64,0,HBACK,0,0.0
101,F,5,B,105,3.38,1,79,60,0,HBACK,0,0.0
102,F,2,A,53,3.34,3,78,29,0,SEDAN,0,0.0
103,M,2,D,146,1.59,2,85,27,0,SEDAN,0,0.0
104,F,5,C,146,4.63,3,67,64,1,HBACK,1,1428.38
105,M,6,D,112,5.52,3,46,90,0,STNWG,0,0.0
106,F,4,C,106,0.96,4,78,55,0,HBACK,0,0.0
107,M,5,A,66,3.38,2,49,58,0,UTE,0,0.0
108,M,3,C,134,3.12,2,83,36,0,HDTOP,0,0.0
109,M,1,E,93,7.5,2,48,15,1,UTE,1,1911.38
110,F,2,A,60,6.7,3,93,29,0,SEDAN,0,0.0
111,M,5,D,152,2.29,2,89,56,0,PANVN,0,0.0
112,M,3,E,120,7.44,2,76,42,0,STNWG,0,0.0
113,F,2,B,73,2.97,4,79,29,1,STNWG,1,2013.91
114,M,2,E,106,3.69,4,77,34,0,UTE,0,0.0
115,F,5,C,31,5.99,1,77,61,0,SEDAN,0,0.0
116,F,4,C,210,1.47,4,99,46,0,COUPE,0,0.0
117,M,3,E,100,2.75,4,79,37,0,STNWG,0,0.0
118,M,2,F,167,3.06,3,97,30,0,SEDAN,0,0.0
119,F,6,C,129,3.0,3,81,98,0,HBACK,0,0.0
120,M,1,B,94,20.01,1,71,19,0,HDTOP,0,0.0
121,F,4,C,100,3.04,1,98,48,0,HBACK,0,0.0
122,M,4,A,120,8.05,3,72,54,0,STNWG,0,0.0
123,M,4,B,126,3.38,2,79,55,0,SEDAN,0,0.0
124,M,4,C,121,7.61,2,93,45,0,STNWG,0,0.0
125,F,1,B,82,14.02,1,100,23,0,SEDAN,0,0.0
126,F,4,A,65,4.6,3,56,46,0,STNWG,0,0.0
127,F,2,A,100,4.95,1,95,34,0,HBACK,0,0.0
128,F,5,D,53,3.96,1,87,60,0,HBACK,0,0.0
129,F,2,C,40,7.12,2,76,29,0,STNWG,0,0.0
130,M,3,F,156,3.93,3,79,44,0,MIBUS,0,0.0
131,M,3,D,25,6.0,2,87,42,0,STNWG,0,0.0
132,F,2,A,59,12.15,2,30,28,0,SEDAN,0,0.0
133,F,6,B,37,4.0,2,68,87,0,SEDAN,0,0.0
134,F,5,E,100,2.79,4,93,61,0,TRUCK,0,0.0
135,F,4,E,100,2.66,2,91,51,1,HBACK,1,2291.83
136,F,6,C,115,2.67,3,81,103,0,HBACK,0,0.0
137,M,1,D,52,4.88,3,84,25,0,HDTOP,0,0.0
138,M,4,F,150,3.38,2,54,45,0,STNWG,0,0.0
139,F,2,C,91,4.46,2,95,28,0,SEDAN,0,0.0
140,M,1,A,100,4.72,1,82,15,0,TRUCK,0,0.0
141,F,5,C,84,3.63,2,68,57,0,SEDAN,0,0.0
142,F,6,A,89,2.82,4,67,108,0,SEDAN,0,0.0
143,F,3,B,80,5.71,3,67,40,0,STNWG,0,0.0
144,M,4,B,84,2.75,4,64,49,0,SEDAN,0,0.0
145,M,3,C,144,2.22,3,82,42,0,SEDAN,0,0.0
146,F,4,C,94,3.0,3,88,49,0,HBACK,0,0.0
147,M,1,A,136,1.98,4,64,23,0,STNWG,0,0.0
148,M,1,A,119,1.84,4,83,18,0,UTE,0,0.0
149,F,3,C,124,1.83,4,89,35,0,STNWG,0,0.0
150,M,4,B,100,0.81,4,88,46,0,SEDAN,0,0.0
151,F,3,A,100,6.25,1,98,39,0,STNWG,0,0.0
152,M,4,A,116,11.77,1,77,53,0,STNWG,0,0.0
153,F,3,A,73,2.75,3,93,42,0,SEDAN,0,0.0
154,M,3,A,100,1.3,4,81,40,0,HBACK,0,0.0
155,F,5,A,142,3.19,3,70,64,0,HBACK,0,0.0
156,F,3,A,100,6.93,2,97,37,0,STNWG,0,0.0
157,F,3,C,100,1.83,3,86,36,0,SEDAN,0,0.0
158,M,4,F,155,4.68,3,90,54,0,STNWG,0,0.0
159,F,2,A,100,4.88,2,70,29,0,SEDAN,0,0.0
160,F,2,A,88,8.32,1,45,32,1,STNWG,1,2016.27
161,F,3,C,100,3.87,2,64,43,0,SEDAN,0,0.0
162,F,3,B,73,1.54,4,81,38,0,UTE,0,0.0
163,M,2,F,64,3.84,4,59,35,0,UTE,0,0.0
164,M,3,C,100,0.99,2,87,38,0,STNWG,0,0.0
165,F,4,A,79,10.26,2,67,49,0,SEDAN,0,0.0
166,M,2,C,53,3.46,4,94,34,0,HDTOP,0,0.0
167,M,4,B,100,4.94,3,62,49,0,MIBUS,0,0.0
168,M,3,F,24,6.29,2,12,40,1,STNWG,1,2142.12
169,M,4,C,100,4.38,4,74,53,0,STNWG,0,0.0
170,F,5,C,89,3.38,2,62,64,0,SEDAN,0,0.0
171,M,1,C,152,5.99,3,87,20,1,TRUCK,1,1847.23
172,F,2,B,100,1.86,4,80,26,0,STNWG,0,0.0
173,M,3,C,109,1.98,4,79,41,0,STNWG,0,0.0
174,M,3,B,121,2.39,3,94,42,0,SEDAN,0,0.0
175,F,3,C,137,3.38,2,91,37,0,SEDAN,0,0.0
176,M,3,A,72,5.94,2,85,37,0,STNWG,0,0.0
177,F,4,C,108,7.33,1,75,48,0,STNWG,0,0.0
178,M,1,B,81,6.35,2,63,24,0,UTE,0,0.0
179,F,4,A,75,6.51,3,59,52,0,STNWG,0,0.0
180,F,3,B,100,1.02,4,15,39,0,SEDAN,0,0.0
181,F,4,B,73,2.07,2,95,46,0,SEDAN,0,0.0
182,M,5,E,131,3.38,2,82,60,0,SEDAN,0,0.0
183,F,3,C,100,4.09,3,49,42,0,SEDAN,0,0.0
184,F,6,B,52,3.54,2,80,68,0,HBACK,0,0.0
185,F,4,A,113,0.82,4,67,47,0,SEDAN,0,0.0
186,M,4,A,100,3.74,3,98,55,0,SEDAN,0,0.0
187,F,3,B,31,5.91,1,85,43,0,STNWG,0,0.0
188,F,5,C,72,1.68,4,99,55,0,SEDAN,0,0.0
189,F,2,F,88,2.79,3,16,33,0,SEDAN,0,0.0
190,M,2,A,149,10.59,1,75,34,0,STNWG,0,0.0
191,F,3,E,108,1.8,4,71,40,0,HBACK,0,0.0
192,F,3,A,79,2.37,4,17,43,0,HDTOP,0,0.0
193,F,2,C,96,8.69,2,93,30,0,STNWG,0,0.0
194,F,6,C,55,2.76,3,41,97,0,HBACK,0,0.0
195,F,2,C,100,3.04,3,77,28,1,SEDAN,1,1916.69
196,F,4,A,94,1.84,3,95,53,0,HBACK,0,0.0
197,M,5,A,123,3.38,2,74,63,0,STNWG,0,0.0
198,F,4,A,124,6.18,1,82,54,0,STNWG,0,0.0
199,M,6,A,102,4.02,1,89,98,0,SEDAN,0,0.0
200,F,3,C,70,3.38,4,85,44,0,HBACK,0,0.0
201,M,3,E,41,9.72,1,55,36,0,TRUCK,0,0.0
202,M,4,A,75,4.19,2,73,51,0,SEDAN,0,0.0
203,F,5,D,100,2.73,3,85,62,0,STNWG,0,0.0
204,F,5,C,76,4.44,1,82,63,0,SEDAN,0,0.0
205,F,3,D,112,2.96,2,72,39,0,HBACK,0,0.0
206,F,2,F,121,7.19,3,83,28,0,STNWG,0,0.0
207,M,1,B,100,3.93,1,19,21,0,TRUCK,0,0.0
208,F,3,C,128,2.28,3,66,41,0,SEDAN,0,0.0
209,M,5,B,100,5.01,2,87,60,0,HBACK,0,0.0
210,F,6,B,123,4.29,2,81,94,0,HBACK,0,0.0
211,F,1,E,127,3.15,2,87,25,0,SEDAN,0,0.0
212,M,5,B,93,6.74,1,48,62,0,SEDAN,0,0.0
213,F,5,C,121,6.0,2,21,58,0,STNWG,0,0.0
214,F,5,C,123,3.38,2,80,57,0,STNWG,0,0.0
215,F,6,E,100,3.31,2,13,107,0,HBACK,0,0.0
216,F,6,D,129,2.91,3,35,66,0,SEDAN,0,0.0
217,F,3,B,59,3.51,2,83,41,0,HBACK,0,0.0
218,F,1,B,73,9.78,1,63,15,0,UTE,0,0.0
219,M,4,F,89,3.38,2,45,53,0,UTE,0,0.0
220,M,3,C,38,3.38,2,100,45,0,PANVN,0,0.0
221,M,4,A,148,4.05,3,96,53,0,HBACK,0,0.0
222,M,3,E,133,10.57,2,78,41,0,STNWG,0,0.0
223,F,1,A,124,3.38,2,82,24,0,SEDAN,0,0.0
224,F,4,C,145,3.93,2,99,51,0,SEDAN,0,0.0
225,M,3,A,53,3.84,4,76,39,0,STNWG,0,0.0
226,F,2,C,85,3.63,2,81,29,0,HBACK,0,0.0
227,F,1,B,140,2.22,4,64,18,0,UTE,0,0.0
228,F,4,C,100,11.29,2,96,53,0,COUPE,0,0.0
229,M,1,E,83,2.62,4,88,17,0,STNWG,0,0.0
230,M,6,A,49,2.56,3,88,107,0,SEDAN,0,0.0
231,F,3,E,72,5.76,3,82,44,0,STNWG,0,0.0
232,F,6,D,100,2.13,4,85,101,0,SEDAN,0,0.0
233,M,5,C,88,3.38,4,99,55,0,HBACK,0,0.0
234,F,3,B,93,1.35,4,88,39,0,SEDAN,0,0.0
235,F,5,E,116,7.25,3,52,62,0,STNWG,0,0.0
236,M,6,A,117,2.96,3,82,106,0,SEDAN,0,0.0
237,M,2,A,129,2.97,3,81,27,0,SEDAN,0,0.0
238,F,3,B,124,3.46,2,57,40,0,HBACK,0,0.0
239,F,3,C,75,1.54,4,93,43,0,HBACK,0,0.0
240,F,1,B,115,1.03,4,87,18,0,HBACK,0,0.0
241,M,4,E,99,3.34,3,81,47,0,HBACK,0,0.0
242,M,3,B,99,1.64,4,74,41,0,SEDAN,0,0.0
243,F,6,A,106,2.13,4,96,103,0,SEDAN,0,0.0
244,F,6,A,100,1.03,2,63,75,0,HBACK,0,0.0
245,F,6,B,55,3.33,3,56,73,0,SEDAN,0,0.0
246,M,3,B,114,3.01,3,75,35,0,PANVN,0,0.0
247,M,2,D,117,3.38,2,77,32,0,HDTOP,0,0.0
248,F,3,D,72,4.05,2,62,44,0,SEDAN,0,0.0
249,F,4,C,100,3.15,1,66,48,0,HBACK,0,0.0
250,M,4,E,42,2.85,4,34,50,0,STNWG,0,0.0
251,F,4,C,100,1.86,3,95,46,0,SEDAN,0,0.0
252,F,4,B,71,3.63,2,97,54,0,SEDAN,0,0.0
253,F,1,C,100,3.17,3,89,23,0,HBACK,0,0.0
254,M,4,A,74,1.03,4,81,54,1,HBACK,1,1984.38
255,F,1,A,69,3.06,2,93,22,0,SEDAN,0,0.0
256,F,2,E,79,3.87,2,95,30,0,HBACK,0,0.0
257,F,4,E,61,3.56,1,94,47,0,HBACK,0,0.0
258,M,3,C,100,3.22,3,99,42,0,SEDAN,0,0.0
259,F,4,A,109,4.02,3,56,51,0,SEDAN,0,0.0
260,F,5,D,100,3.38,4,82,60,0,SEDAN,0,0.0
261,F,4,E,46,5.26,2,52,50,0,UTE,0,0.0
262,F,3,A,139,12.81,2,70,38,1,STNWG,1,1904.63
263,F,3,D,102,0.69,4,95,42,0,SEDAN,0,0.0
264,F,4,C,56,3.38,2,92,48,0,SEDAN,0,0.0
265,F,5,C,198,1.52,4,74,62,0,SEDAN,0,0.0
266,M,1,A,100,1.78,3,20,19,0,HBACK,0,0.0
267,M,5,C,48,2.19,4,76,64,0,MIBUS,0,0.0
268,F,4,B,64,2.7,2,56,54,0,SEDAN,0,0.0
269,M,5,A,107,0.87,4,89,63,0,PANVN,0,0.0
270,M,3,C,80,2.16,3,91,41,0,HBACK,0,0.0
271,F,4,C,25,2.03,2,81,51,0,HBACK,0,0.0
272,F,3,B,86,1.17,4,94,38,0,HBACK,0,0.0
273,M,4,C,103,5.35,1,53,54,0,UTE,0,0.0
274,M,1,A,99,3.38,2,59,22,0,HBACK,0,0.0
275,M,4,E,85,5.76,3,77,53,0,STNWG,0,0.0
276,M,3,C,89,3.66,4,75,41,0,STNWG,0,0.0
277,M,3,B,136,9.5,2,45,41,1,STNWG,1,1933.89
278,F,6,B,118,0.68,4,69,71,0,HBACK,0,0.0
279,M,3,B,116,1.66,4,56,38,0,TRUCK,0,0.0
280,M,6,B,100,1.8,4,77,79,0,HBACK,0,0.0
281,M,3,C,154,3.38,2,81,37,0,HBACK,0,0.0
282,F,2,D,74,1.71,4,91,31,0,UTE,0,0.0
283,M,3,E,100,1.8,4,67,37,0,UTE,0,0.0
284,F,2,B,100,0.93,4,90,31,0,HBACK,0,0.0
285,M,2,A,97,4.05,2,35,28,0,SEDAN,0,0.0
286,F,6,E,100,1.64,3,67,72,0,HBACK,0,0.0
287,M,3,C,80,4.51,2,95,36,0,PANVN,0,0.0
288,F,4,C,100,2.84,2,73,47,0,HBACK,0,0.0
289,M,3,F,130,4.37,4,20,40,0,STNWG,0,0.0
290,F,2,D,56,9.31,2,70,29,0,STNWG,0,0.0
291,F,3,C,100,12.91,2,13,41,0,SEDAN,0,0.0
292,M,2,C,100,2.4,4,90,33,0,UTE,0,0.0
293,M,3,E,186,8.69,1,70,39,0,UTE,0,0.0
294,F,2,F,116,7.19,3,48,29,0,HDTOP,0,0.0
295,F,3,C,97,5.71,3,91,40,0,STNWG,0,0.0
296,F,2,A,100,5.99,2,87,26,0,STNWG,0,0.0
297,F,1,D,100,3.6,3,66,19,0,PANVN,0,0.0
298,F,3,B,153,3.38,2,65,40,0,SEDAN,0,0.0
299,F,4,C,97,7.62,3,81,51,0,STNWG,0,0.0
300,F,4,D,56,1.74,3,76,50,0,HBACK,0,0.0
301,F,6,A,135,3.96,2,86,107,0,HBACK,0,0.0
302,M,6,E,125,16.09,1,93,94,0,STNWG,0,0.0
303,M,4,A,76,6.99,2,92,46,0,UTE,0,0.0
304,F,1,D,151,2.84,1,95,16,0,HBACK,0,0.0
305,F,4,C,171,4.75,2,48,49,0,SEDAN,0,0.0
306,M,5,A,37,6.44,2,98,59,0,SEDAN,0,0.0
307,F,2,C,126,3.38,2,81,27,0,HBACK,0,0.0
308,F,3,C,120,3.51,2,86,37,0,HBACK,0,0.0
309,F,3,B,95,6.51,1,50,41,0,SEDAN,0,0.0
310,M,6,D,111,5.4,1,63,68,0,PANVN,0,0.0
311,M,5,B,88,2.58,3,78,62,0,SEDAN,0,0.0
312,M,1,E,179,3.04,4,91,20,0,HDTOP,0,0.0
313,F,4,A,100,1.05,4,64,48,0,SEDAN,0,0.0
314,M,2,B,93,3.25,4,31,34,0,UTE,0,0.0
315,M,2,D,79,6.64,2,90,31,0,SEDAN,0,0.0
316,F,3,D,93,6.42,2,12,37,0,UTE,0,0.0
317,M,6,D,121,2.49,2,71,68,0,HBACK,0,0.0
318,F,3,F,143,2.58,4,54,36,0,HDTOP,0,0.0
319,F,6,C,53,5.8,2,67,96,0,STNWG,0,0.0
320,F,3,C,22,3.33,3,87,44,0,SEDAN,0,0.0
321,M,3,A,179,3.17,2,79,39,0,SEDAN,0,0.0
322,F,3,C,100,12.08,2,14,40,0,SEDAN,0,0.0
323,F,3,C,150,2.79,3,17,36,0,HBACK,0,0.0
324,F,4,C,100,1.66,3,82,47,0,HBACK,0,0.0
325,F,4,C,121,3.96,1,80,48,0,SEDAN,0,0.0
326,M,2,D,100,6.25,2,79,32,0,STNWG,0,0.0
327,F,5,C,141,3.82,1,56,57,0,HBACK,0,0.0
328,F,3,C,63,3.38,4,85,38,0,HBACK,0,0.0
329,M,4,E,44,4.72,1,64,46,0,SEDAN,0,0.0
330,M,6,C,100,2.84,4,69,105,0,STNWG,0,0.0
331,M,5,D,103,10.56,1,86,65,0,TRUCK,0,0.0
332,F,2,C,100,2.91,2,72,29,0,SEDAN,0,0.0
333,F,3,B,100,4.65,3,32,37,0,STNWG,0,0.0
334,F,2,C,128,3.58,1,94,26,1,SEDAN,1,1872.09
335,F,3,A,99,52.64,1,13,43,0,HDTOP,0,0.0
336,F,2,F,80,3.81,3,75,26,0,STNWG,0,0.0
337,M,5,A,131,1.38,4,16,62,0,UTE,0,0.0
338,M,3,E,128,4.41,3,96,43,0,STNWG,0,0.0
339,M,5,E,55,2.58,3,26,62,0,SEDAN,0,0.0
340,M,5,C,102,3.38,2,80,58,0,STNWG,0,0.0
341,M,2,C,85,0.93,4,57,34,0,HBACK,0,0.0
342,F,2,B,113,0.87,4,81,32,0,HBACK,0,0.0
343,F,6,E,78,0.93,4,83,88,0,SEDAN,0,0.0
344,F,4,A,110,2.97,4,87,47,0,STNWG,0,0.0
345,M,3,D,177,0.99,4,92,42,0,SEDAN,0,0.0
346,M,3,C,49,5.29,1,93,37,0,SEDAN,0,0.0
347,F,6,A,132,3.99,3,92,99,0,SEDAN,0,0.0
348,F,3,B,100,0.86,4,72,38,0,HBACK,0,0.0
349,M,1,E,62,16.47,1,87,21,0,STNWG,0,0.0
350,F,3,D,98,1.12,4,84,37,0,HBACK,0,0.0
351,M,4,A,126,4.09,2,96,47,0,HBACK,0,0.0
352,F,2,A,75,2.04,4,72,30,0,SEDAN,0,0.0
353,F,5,A,186,3.12,1,88,62,0,HBACK,0,0.0
354,M,4,F,162,7.54,2,85,52,0,UTE,0,0.0
355,F,4,C,77,6.03,3,85,46,0,STNWG,0,0.0
356,M,4,C,100,2.66,4,72,48,0,STNWG,0,0.0
357,M,1,C,56,3.38,2,64,15,0,HBACK,0,0.0
358,F,2,B,100,3.99,2,74,35,1,SEDAN,1,1755.34
359,M,3,B,100,2.31,3,66,36,0,SEDAN,0,0.0
360,F,5,A,56,6.6,2,77,63,0,SEDAN,0,0.0
361,M,4,C,100,2.76,3,72,45,0,SEDAN,0,0.0
362,F,3,C,69,4.56,1,87,35,0,SEDAN,0,0.0
363,M,4,A,94,2.92,2,91,52,0,HBACK,0,0.0
364,M,3,F,94,5.19,4,75,40,1,STNWG,1,2036.43
365,F,5,B,54,3.69,1,16,64,0,SEDAN,0,0.0
366,F,5,F,125,2.03,3,86,56,0,HBACK,0,0.0
367,F,2,A,78,4.59,1,63,26,0,SEDAN,0,0.0
368,M,5,B,33,0.69,4,80,60,0,SEDAN,0,0.0
369,M,6,A,150,0.69,4,95,89,0,SEDAN,0,0.0
370,F,3,D,146,4.95,1,49,40,0,SEDAN,0,0.0
371,F,3,B,74,4.77,3,57,43,0,STNWG,0,0.0
372,M,5,C,68,29.01,2,80,64,0,SEDAN,0,0.0
373,M,4,D,40,3.38,2,93,46,0,SEDAN,0,0.0
374,M,2,B,111,4.63,2,96,34,1,HBACK,1,2123.99
375,F,3,E,72,3.38,2,81,40,0,SEDAN,0,0.0
376,F,1,C,138,3.0,3,96,20,0,SEDAN,0,0.0
377,M,3,E,178,2.25,4,98,36,0,HBACK,0,0.0
378,F,6,C,86,3.78,1,80,104,0,HBACK,0,0.0
379,F,4,B,86,4.23,3,50,46,0,SEDAN,0,0.0
380,M,6,E,129,7.65,1,75,76,0,STNWG,0,0.0
381,M,3,D,138,7.68,2,88,43,0,HDTOP,0,0.0
382,F,3,C,85,6.35,3,75,42,0,MIBUS,0,0.0
383,M,5,A,147,8.31,2,56,63,0,STNWG,0,0.0
384,F,3,A,100,1.59,4,92,44,0,HBACK,0,0.0
385,F,4,A,110,3.15,1,73,53,0,HBACK,0,0.0
386,F,4,C,130,3.09,2,96,46,0,HBACK,0,0.0
387,M,6,A,111,5.47,1,84,90,0,SEDAN,0,0.0
388,F,4,A,114,2.62,4,91,47,0,SEDAN,0,0.0
389,F,4,A,43,3.38,2,89,49,0,SEDAN,0,0.0
390,F,3,E,47,3.92,1,49,40,0,HBACK,0,0.0
391,F,4,A,74,3.38,2,96,51,0,SEDAN,0,0.0
392,F,3,F,62,6.57,3,71,44,0,STNWG,0,0.0
393,F,1,C,40,3.88,1,77,23,1,HBACK,1,2175.81
394,F,4,D,66,3.38,1,99,55,1,STNWG,1,1739.98
395,F,3,F,162,2.85,4,73,44,0,STNWG,0,0.0
396,M,5,A,90,3.06,2,47,64,0,HBACK,0,0.0
397,F,3,C,100,1.83,3,91,36,0,SEDAN,0,0.0
398,M,4,A,79,3.38,2,91,55,1,MIBUS,1,1901.21
399,F,2,C,116,3.38,2,43,29,0,SEDAN,0,0.0
400,F,2,B,61,3.92,2,56,27,0,HBACK,0,0.0
401,M,3,C,100,2.91,3,90,37,0,SEDAN,0,0.0
402,F,5,C,100,1.64,4,95,55,1,SEDAN,1,1989.27
403,M,2,C,113,4.32,3,95,28,0,STNWG,0,0.0
404,F,4,A,103,2.56,3,81,50,0,HBACK,0,0.0
405,M,3,B,141,1.3,4,81,37,0,COUPE,0,0.0
406,M,1,F,76,4.83,2,86,18,0,UTE,0,0.0
407,M,2,C,100,2.04,3,64,35,0,SEDAN,0,0.0
408,M,1,B,53,10.12,1,42,19,0,TRUCK,0,0.0
409,F,1,A,116,3.69,3,78,22,0,HDTOP,0,0.0
410,M,1,C,149,6.31,2,28,21,0,TRUCK,0,0.0
411,F,3,E,126,3.17,3,92,36,0,HDTOP,0,0.0
412,F,2,D,142,2.56,2,85,30,1,HBACK,1,2102.24
413,F,2,B,54,2.03,4,88,25,1,UTE,1,2033.94
414,M,3,C,105,2.76,2,84,41,0,SEDAN,0,0.0
